,Country,City,Temperature,Max Temperature,Wind Speed,Cloudiness,Humidity,Latitude,Longitude
0,PT,vila franca do campo,18,18,2.6,75,59,37.72,-25.43
1,CA,norman wells,-7,-7,2.1,40,79,65.28,-126.83
2,LY,sabha,21.55,21.55,4.01,0,23,27.04,14.43
3,CF,birao,23.87,23.87,1.67,32,49,10.28,22.79
4,PF,rikitea,24.2,24.2,7.49,100,83,-23.12,-134.97
5,AU,ballina,21.63,22,3.1,90,83,-28.87,153.57
6,GL,upernavik,-8.42,-8.42,2.63,0,79,72.79,-56.15
7,NZ,bluff,15,15,1.34,14,65,-46.6,168.33
8,GB,salisbury,7.98,8.89,4.78,1,84,51.07,-1.8
9,CA,la ronge,-3,-3,4.1,90,92,55.1,-105.28
10,Not Found,cheuskiny,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
11,HK,victoria,23.15,25,0.45,57,73,22.29,114.16
12,CL,punta arenas,7.3,8,7.2,0,61,-53.15,-70.92
13,Not Found,mys shmidta,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
14,GL,qaanaaq,-11.75,-11.75,6.03,94,79,77.48,-69.36
15,ZA,port alfred,17.63,17.63,6.41,39,87,-33.59,26.89
16,Not Found,belushya guba,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
17,US,jamestown,4.21,5,1.56,90,100,42.1,-79.24
18,Not Found,illoqqortoormiut,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
19,RU,khatanga,-20.74,-20.74,4.7,55,90,71.97,102.5
20,BR,cidreira,17.71,17.71,5.22,98,84,-30.18,-50.21
21,RU,evensk,-2.6,-2.6,4.32,0,80,61.95,159.23
22,US,bethel,10.48,11,1.5,90,57,41.37,-73.41
23,TO,vaini,22.91,22.91,12.1,4,76,-21.2,-175.2
24,IT,lipari,13.65,15,2.24,92,73,38.47,14.95
25,NZ,mataura,14.44,14.44,1.34,4,67,-46.19,168.86
26,Not Found,samusu,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
27,FO,klaksvik,8.15,8.15,10.23,92,86,62.23,-6.59
28,AU,kununurra,30,30,1.5,98,66,-15.77,128.73
29,NE,bilma,20.65,20.65,1.61,0,24,18.69,12.92
30,RU,chokurdakh,-10.93,-10.93,1.26,100,97,70.63,147.92
31,AU,leopold,15.55,16.67,3.6,90,87,-38.18,144.47
32,NO,vardo,6.35,6.35,5.24,100,93,70.37,31.11
33,AU,busselton,14.8,15,3.69,14,91,-33.65,115.33
34,ZA,cape town,15.93,17.78,4.6,75,87,-33.93,18.42
35,SE,ostersund,5.28,5.56,3.6,86,93,63.18,14.64
36,EE,olgina,11.91,11.91,6.88,100,85,59.4,28.13
37,US,kodiak,8,8,3.1,40,68,57.79,-152.41
38,BR,castro,15.95,15.95,1.71,0,63,-24.79,-50.01
39,MW,rumphi,19.8,19.8,3.09,25,67,-11.02,33.86
40,AU,hobart,13.63,14.44,4.1,75,66,-42.88,147.33
41,NZ,tuatapere,15,15,1.34,35,65,-46.13,167.68
42,LY,darnah,22.89,22.89,10.11,5,55,32.77,22.64
43,US,albany,8.26,8.89,2.29,100,74,42.6,-73.97
44,IN,garwa,18.08,18.08,0.93,0,57,24.18,83.82
45,GL,nanortalik,-0.88,-0.88,1.9,100,90,60.14,-45.24
46,Not Found,sentyabrskiy,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
47,IE,killarney,6.63,6.63,5.09,84,82,52.05,-9.52
48,AU,codrington,15.54,15.54,2.47,48,75,-38.27,141.97
